year_film,year_ceremony,ceremony,category,name,film,winner
1947,1948,20,ACTOR,Ronald Colman,A Double Life,True
1947,1948,20,ACTOR,John Garfield,Body and Soul,False
1947,1948,20,ACTOR,Gregory Peck,Gentleman's Agreement,False
1947,1948,20,ACTOR,William Powell,Life with Father,False
1947,1948,20,ACTOR,Michael Redgrave,Mourning Becomes Electra,False
1947,1948,20,ACTOR IN A SUPPORTING ROLE,Charles Bickford,The Farmer's Daughter,False
1947,1948,20,ACTOR IN A SUPPORTING ROLE,Thomas Gomez,Ride the Pink Horse,False
1947,1948,20,ACTOR IN A SUPPORTING ROLE,Edmund Gwenn,Miracle on 34th Street,True
1947,1948,20,ACTOR IN A SUPPORTING ROLE,Robert Ryan,Crossfire,False
1947,1948,20,ACTOR IN A SUPPORTING ROLE,Richard Widmark,Kiss of Death,False
1947,1948,20,ACTRESS,Joan Crawford,Possessed,False
1947,1948,20,ACTRESS,Susan Hayward,Smash-Up--The Story of a Woman,False
1947,1948,20,ACTRESS,Dorothy McGuire,Gentleman's Agreement,False
1947,1948,20,ACTRESS,Rosalind Russell,Mourning Becomes Electra,False
1947,1948,20,ACTRESS,Loretta Young,The Farmer's Daughter,True
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,The Paradine Case,False
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Gloria Grahame,Crossfire,False
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,Gentleman's Agreement,True
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Marjorie Main,The Egg and I,False
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Anne Revere,Gentleman's Agreement,False
1947,1948,20,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, Maurice Ransford;  Set Decoration:  Thomas Little, Paul S. Fox",The Foxes of Harrow,False
1947,1948,20,ART DIRECTION (Black-and-White),Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton,Great Expectations,True
1947,1948,20,ART DIRECTION (Color),Art Direction:  Alfred Junge;  Set Decoration:  Alfred Junge,Black Narcissus,True
1947,1948,20,ART DIRECTION (Color),Art Direction:  Robert M. Haas;  Set Decoration:  George James Hopkins,Life with Father,False
1947,1948,20,CINEMATOGRAPHY (Black-and-White),"Charles Lang, Jr.",The Ghost and Mrs. Muir,False
1947,1948,20,CINEMATOGRAPHY (Black-and-White),Guy Green,Great Expectations,True
1947,1948,20,CINEMATOGRAPHY (Black-and-White),George Folsey,Green Dolphin Street,False
1947,1948,20,CINEMATOGRAPHY (Color),Jack Cardiff,Black Narcissus,True
1947,1948,20,CINEMATOGRAPHY (Color),"Peverell Marley, William V. Skall",Life with Father,False
1947,1948,20,CINEMATOGRAPHY (Color),Harry Jackson,Mother Wore Tights,False
1947,1948,20,DIRECTING,Henry Koster,The Bishop's Wife,False
1947,1948,20,DIRECTING,Edward Dmytryk,Crossfire,False
1947,1948,20,DIRECTING,George Cukor,A Double Life,False
1947,1948,20,DIRECTING,Elia Kazan,Gentleman's Agreement,True
1947,1948,20,DIRECTING,David Lean,Great Expectations,False
1947,1948,20,DOCUMENTARY (Feature),"Sid Rogell, Executive Producer;  Theron Warth and Richard O. Fleischer, Producers",Design for Death,True
1947,1948,20,DOCUMENTARY (Feature),United States Department of State Office of Information and Educational Exchange,Journey into Medicine,False
1947,1948,20,DOCUMENTARY (Feature),"Paul Rotha, Producer",The World Is Rich,False
1947,1948,20,DOCUMENTARY (Short Subject),United Nations Division of Films and Visual Information,First Steps,True
1947,1948,20,DOCUMENTARY (Short Subject),"Frederic Ullman, Jr., Producer",Passport to Nowhere,False
1947,1948,20,DOCUMENTARY (Short Subject),Australian News & Information Bureau,School in the Mailbox,False
1947,1948,20,FILM EDITING,Monica Collingwood,The Bishop's Wife,False
1947,1948,20,FILM EDITING,"Francis Lyon, Robert Parrish",Body and Soul,True
1947,1948,20,FILM EDITING,Harmon Jones,Gentleman's Agreement,False
1947,1948,20,FILM EDITING,George White,Green Dolphin Street,False
1947,1948,20,FILM EDITING,Fergus McDonell,Odd Man Out,False
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Hugo Friedhofer,The Bishop's Wife,False
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,Captain from Castile,False
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Dr. Miklos Rozsa,A Double Life,True
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),David Raksin,Forever Amber,False
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,Life with Father,False
1947,1948,20,MUSIC (Scoring of a Musical Picture),Johnny Green,Fiesta,False
1947,1948,20,MUSIC (Scoring of a Musical Picture),Alfred Newman,Mother Wore Tights,True
1947,1948,20,MUSIC (Scoring of a Musical Picture),"Ray Heindorf, Max Steiner",My Wild Irish Rose,False
1947,1948,20,MUSIC (Scoring of a Musical Picture),Robert Emmett Dolan,Road to Rio,False
1947,1948,20,MUSIC (Scoring of a Musical Picture),"Daniele Amfitheatrof, Paul J. Smith, Charles Wolcott",Song of the South,False
1947,1948,20,MUSIC (Song),Music by Arthur Schwartz; Lyrics by Leo Robin,"The Time, the Place and the Girl",False
1947,1948,20,MUSIC (Song),Music and Lyrics by Frank Loesser,The Perils of Pauline,False
1947,1948,20,MUSIC (Song),"Music and Lyrics by Ralph Blane, Roger Edens and Hugh Martin",Good News,False
1947,1948,20,MUSIC (Song),Music by Josef Myrow; Lyrics by Mack Gordon,Mother Wore Tights,False
1947,1948,20,MUSIC (Song),Music by Allie Wrubel; Lyrics by Ray Gilbert,Song of the South,True
1947,1948,20,BEST MOTION PICTURE,Samuel Goldwyn Productions,The Bishop's Wife,False
1947,1948,20,BEST MOTION PICTURE,RKO Radio,Crossfire,False
1947,1948,20,BEST MOTION PICTURE,20th Century-Fox,Gentleman's Agreement,True
1947,1948,20,BEST MOTION PICTURE,J. Arthur Rank-Cineguild,Great Expectations,False
1947,1948,20,BEST MOTION PICTURE,20th Century-Fox,Miracle on 34th Street,False
1947,1948,20,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Chip An' Dale,False
1947,1948,20,SHORT SUBJECT (Cartoon),"Frederick Quimby, Producer",Dr. Jekyll and Mr. Mouse,False
1947,1948,20,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Pluto's Blue Note,False
1947,1948,20,SHORT SUBJECT (Cartoon),"George Pal, Producer",Tubby the Tuba,False
1947,1948,20,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Tweetie Pie,True
1947,1948,20,SHORT SUBJECT (One-reel),"Thomas Mead, Producer","Brooklyn, U.S.A.",False
1947,1948,20,SHORT SUBJECT (One-reel),"Herbert Moulton, Producer",Good-bye Miss Turlock,True
1947,1948,20,SHORT SUBJECT (One-reel),"Jerry Fairbanks, Producer",Moon Rockets,False
1947,1948,20,SHORT SUBJECT (One-reel),"Pete Smith, Producer",Now You See It,False
1947,1948,20,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",So You Want to Be in Pictures,False
1947,1948,20,SHORT SUBJECT (Two-reel),"Harry Grey, Producer",Champagne for Two,False
1947,1948,20,SHORT SUBJECT (Two-reel),"Irving Allen, Producer",Climbing the Matterhorn,True
1947,1948,20,SHORT SUBJECT (Two-reel),"Thomas Mead, Producer",Fight of the Wild Stallions,False
1947,1948,20,SHORT SUBJECT (Two-reel),"Herbert Morgan, Producer",Give Us the Earth,False
1947,1948,20,SHORT SUBJECT (Two-reel),"Ben Blake, Producer",A Voice Is Born: The Story of Niklos Gafni,False
1947,1948,20,SOUND RECORDING,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",The Bishop's Wife,True
1947,1948,20,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Green Dolphin Street,False
1947,1948,20,SOUND RECORDING,"Sound Service, Inc., Jack R. Whitney, Sound Director",T-Men,False
1947,1948,20,SPECIAL EFFECTS,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore",Green Dolphin Street,True
1947,1948,20,SPECIAL EFFECTS,"Special Visual Effects by Farciot Edouart, Devereux Jennings, Gordon Jennings, Wallace Kelley, Paul Lerpae; Special Audible Effects by George Dutton",Unconquered,False
1947,1948,20,WRITING (Motion Picture Story),"Georges Chaperot, Rene Wheeler",A Cage of Nightingales,False
1947,1948,20,WRITING (Motion Picture Story),"Herbert Clyde Lewis, Frederick Stephani",It Happened on Fifth Avenue,False
1947,1948,20,WRITING (Motion Picture Story),Eleazar Lipsky,Kiss of Death,False
1947,1948,20,WRITING (Motion Picture Story),Valentine Davies,Miracle on 34th Street,True
1947,1948,20,WRITING (Motion Picture Story),"Dorothy Parker, Frank Cavett",Smash-Up--The Story of a Woman,False
1947,1948,20,WRITING (Original Screenplay),Sidney Sheldon,The Bachelor and the Bobby-Soxer,True
1947,1948,20,WRITING (Original Screenplay),Abraham Polonsky,Body and Soul,False
1947,1948,20,WRITING (Original Screenplay),"Ruth Gordon, Garson Kanin",A Double Life,False
1947,1948,20,WRITING (Original Screenplay),Charles Chaplin,Monsieur Verdoux,False
1947,1948,20,WRITING (Original Screenplay),"Sergio Amidei, Adolfo Franci, C. G. Viola, Cesare Zavattini",Shoe-Shine,False
1947,1948,20,WRITING (Screenplay),Richard Murphy,Boomerang!,False
