year_film,year_ceremony,ceremony,category,name,film,winner
1957,1958,30,ACTOR,Marlon Brando,Sayonara,False
1957,1958,30,ACTOR,Anthony Franciosa,A Hatful of Rain,False
1957,1958,30,ACTOR,Alec Guinness,The Bridge on the River Kwai,True
1957,1958,30,ACTOR,Charles Laughton,Witness for the Prosecution,False
1957,1958,30,ACTOR,Anthony Quinn,Wild Is the Wind,False
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Red Buttons,Sayonara,True
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Vittorio De Sica,A Farewell to Arms,False
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Sessue Hayakawa,The Bridge on the River Kwai,False
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Arthur Kennedy,Peyton Place,False
1957,1958,30,ACTOR IN A SUPPORTING ROLE,Russ Tamblyn,Peyton Place,False
1957,1958,30,ACTRESS,Deborah Kerr,"Heaven Knows, Mr. Allison",False
1957,1958,30,ACTRESS,Anna Magnani,Wild Is the Wind,False
1957,1958,30,ACTRESS,Elizabeth Taylor,Raintree County,False
1957,1958,30,ACTRESS,Lana Turner,Peyton Place,False
1957,1958,30,ACTRESS,Joanne Woodward,The Three Faces of Eve,True
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Carolyn Jones,The Bachelor Party,False
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Elsa Lanchester,Witness for the Prosecution,False
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Hope Lange,Peyton Place,False
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki,Sayonara,True
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Diane Varsi,Peyton Place,False
1957,1958,30,ART DIRECTION,"Art Direction:  Hal Pereira, George W. Davis;  Set Decoration:  Sam Comer, Ray Moyer",Funny Face,False
1957,1958,30,ART DIRECTION,"Art Direction:  William A. Horning, Gene Allen;  Set Decoration:  Edwin B. Willis, Richard Pefferle",Les Girls,False
1957,1958,30,ART DIRECTION,"Art Direction:  Walter Holscher;  Set Decoration:  William Kiernan, Louis Diage",Pal Joey,False
1957,1958,30,ART DIRECTION,"Art Direction:  William A. Horning, Urie McCleary;  Set Decoration:  Edwin B. Willis, Hugh Hunt",Raintree County,False
1957,1958,30,ART DIRECTION,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley,Sayonara,True
1957,1958,30,CINEMATOGRAPHY,Milton Krasner,An Affair to Remember,False
1957,1958,30,CINEMATOGRAPHY,Jack Hildyard,The Bridge on the River Kwai,True
1957,1958,30,CINEMATOGRAPHY,Ray June,Funny Face,False
1957,1958,30,CINEMATOGRAPHY,William Mellor,Peyton Place,False
1957,1958,30,CINEMATOGRAPHY,Ellsworth Fredricks,Sayonara,False
1957,1958,30,COSTUME DESIGN,Charles LeMaire,An Affair to Remember,False
1957,1958,30,COSTUME DESIGN,"Edith Head, Hubert de Givenchy",Funny Face,False
1957,1958,30,COSTUME DESIGN,Orry-Kelly,Les Girls,True
1957,1958,30,COSTUME DESIGN,Jean Louis,Pal Joey,False
1957,1958,30,COSTUME DESIGN,Walter Plunkett,Raintree County,False
1957,1958,30,DIRECTING,David Lean,The Bridge on the River Kwai,True
1957,1958,30,DIRECTING,Mark Robson,Peyton Place,False
1957,1958,30,DIRECTING,Joshua Logan,Sayonara,False
1957,1958,30,DIRECTING,Sidney Lumet,12 Angry Men,False
1957,1958,30,DIRECTING,Billy Wilder,Witness for the Prosecution,False
1957,1958,30,DOCUMENTARY (Feature),"Jerome Hill, Producer",Albert Schweitzer,True
1957,1958,30,DOCUMENTARY (Feature),"Lionel Rogosin, Producer",On the Bowery,False
1957,1958,30,DOCUMENTARY (Feature),"Manuel Barbachano Ponce, Producer",Torero!,False
1957,1958,30,FILM EDITING,Peter Taylor,The Bridge on the River Kwai,True
1957,1958,30,FILM EDITING,Warren Low,Gunfight at the O.K. Corral,False
1957,1958,30,FILM EDITING,"Viola Lawrence, Jerome Thoms",Pal Joey,False
1957,1958,30,FILM EDITING,"Arthur P. Schmidt, Philip W. Anderson",Sayonara,False
1957,1958,30,FILM EDITING,Daniel Mandell,Witness for the Prosecution,False
1957,1958,30,FOREIGN LANGUAGE FILM,West Germany,The Devil Came at Night,False
1957,1958,30,FOREIGN LANGUAGE FILM,France,Gates of Paris,False
1957,1958,30,FOREIGN LANGUAGE FILM,India,Mother India,False
1957,1958,30,FOREIGN LANGUAGE FILM,Italy,The Nights of Cabiria,True
1957,1958,30,FOREIGN LANGUAGE FILM,Norway,Nine Lives,False
1957,1958,30,MUSIC (Scoring),Hugo Friedhofer,An Affair to Remember,False
1957,1958,30,MUSIC (Scoring),Hugo Friedhofer,Boy on a Dolphin,False
