year_film,year_ceremony,ceremony,category,name,film,winner
1987,1988,60,ACTOR IN A LEADING ROLE,Michael Douglas,Wall Street,True
1987,1988,60,ACTOR IN A LEADING ROLE,William Hurt,Broadcast News,False
1987,1988,60,ACTOR IN A LEADING ROLE,Marcello Mastroianni,Dark Eyes,False
1987,1988,60,ACTOR IN A LEADING ROLE,Jack Nicholson,Ironweed,False
1987,1988,60,ACTOR IN A LEADING ROLE,Robin Williams,"Good Morning, Vietnam",False
1987,1988,60,ACTOR IN A SUPPORTING ROLE,Albert Brooks,Broadcast News,False
1987,1988,60,ACTOR IN A SUPPORTING ROLE,Sean Connery,The Untouchables,True
1987,1988,60,ACTOR IN A SUPPORTING ROLE,Morgan Freeman,Street Smart,False
1987,1988,60,ACTOR IN A SUPPORTING ROLE,Vincent Gardenia,Moonstruck,False
1987,1988,60,ACTOR IN A SUPPORTING ROLE,Denzel Washington,Cry Freedom,False
1987,1988,60,ACTRESS IN A LEADING ROLE,Cher,Moonstruck,True
1987,1988,60,ACTRESS IN A LEADING ROLE,Glenn Close,Fatal Attraction,False
1987,1988,60,ACTRESS IN A LEADING ROLE,Holly Hunter,Broadcast News,False
1987,1988,60,ACTRESS IN A LEADING ROLE,Sally Kirkland,Anna,False
1987,1988,60,ACTRESS IN A LEADING ROLE,Meryl Streep,Ironweed,False
1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Norma Aleandro,Gaby - A True Story,False
1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Anne Archer,Fatal Attraction,False
1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Olympia Dukakis,Moonstruck,True
1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Anne Ramsey,Throw Momma from the Train,False
1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Ann Sothern,The Whales of August,False
1987,1988,60,ART DIRECTION,Art Direction:  Norman Reynolds;  Set Decoration:  Harry Cordwell,Empire of the Sun,False
1987,1988,60,ART DIRECTION,Art Direction:  Anthony Pratt;  Set Decoration:  Joan Woollard,Hope and Glory,False
1987,1988,60,ART DIRECTION,"Art Direction:  Ferdinando Scarfiotti;  Set Decoration:  Bruno Cesari, Osvaldo Desideri",The Last Emperor,True
1987,1988,60,ART DIRECTION,"Art Direction:  Santo Loquasto;  Set Decoration:  Carol Joffe, Les Bloom, George DeTitta, Jr.",Radio Days,False
1987,1988,60,ART DIRECTION,"Art Direction:  Patrizia Von Brandenstein, William A. Elliott;  Set Decoration:  Hal Gausman",The Untouchables,False
1987,1988,60,CINEMATOGRAPHY,Michael Ballhaus,Broadcast News,False
1987,1988,60,CINEMATOGRAPHY,Allen Daviau,Empire of the Sun,False
1987,1988,60,CINEMATOGRAPHY,Philippe Rousselot,Hope and Glory,False
1987,1988,60,CINEMATOGRAPHY,Vittorio Storaro,The Last Emperor,True
1987,1988,60,CINEMATOGRAPHY,Haskell Wexler,Matewan,False
1987,1988,60,COSTUME DESIGN,Dorothy Jeakins,The Dead,False
1987,1988,60,COSTUME DESIGN,Bob Ringwood,Empire of the Sun,False
1987,1988,60,COSTUME DESIGN,James Acheson,The Last Emperor,True
1987,1988,60,COSTUME DESIGN,"Jenny Beavan, John Bright",Maurice,False
1987,1988,60,COSTUME DESIGN,Marilyn Vance-Straker,The Untouchables,False
1987,1988,60,DIRECTING,Adrian Lyne,Fatal Attraction,False
1987,1988,60,DIRECTING,John Boorman,Hope and Glory,False
1987,1988,60,DIRECTING,Bernardo Bertolucci,The Last Emperor,True
1987,1988,60,DIRECTING,Norman Jewison,Moonstruck,False
1987,1988,60,DIRECTING,Lasse Hallström,My Life as a Dog,False
1987,1988,60,DOCUMENTARY (Feature),"Callie Crossley and James A. DeVinney, Producers",Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,False
1987,1988,60,DOCUMENTARY (Feature),"John Junkerman and John W. Dower, Producers",Hellfire: A Journey from Hiroshima,False
1987,1988,60,DOCUMENTARY (Feature),"Robert Stone, Producer",Radio Bikini,False
1987,1988,60,DOCUMENTARY (Feature),"Barbara Herbich and Cyril Christo, Producers",A Stitch for Time,False
