year_film,year_ceremony,ceremony,category,name,film,winner
1997,1998,70,ACTOR IN A LEADING ROLE,Matt Damon,Good Will Hunting,False
1997,1998,70,ACTOR IN A LEADING ROLE,Robert Duvall,The Apostle,False
1997,1998,70,ACTOR IN A LEADING ROLE,Peter Fonda,Ulee's Gold,False
1997,1998,70,ACTOR IN A LEADING ROLE,Dustin Hoffman,Wag the Dog,False
1997,1998,70,ACTOR IN A LEADING ROLE,Jack Nicholson,As Good as It Gets,True
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Robert Forster,Jackie Brown,False
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Anthony Hopkins,Amistad,False
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Greg Kinnear,As Good as It Gets,False
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Burt Reynolds,Boogie Nights,False
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Robin Williams,Good Will Hunting,True
1997,1998,70,ACTRESS IN A LEADING ROLE,Helena Bonham Carter,The Wings of the Dove,False
1997,1998,70,ACTRESS IN A LEADING ROLE,Julie Christie,Afterglow,False
1997,1998,70,ACTRESS IN A LEADING ROLE,Judi Dench,Mrs. Brown,False
1997,1998,70,ACTRESS IN A LEADING ROLE,Helen Hunt,As Good as It Gets,True
1997,1998,70,ACTRESS IN A LEADING ROLE,Kate Winslet,Titanic,False
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Kim Basinger,L.A. Confidential,True
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Joan Cusack,In & Out,False
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Minnie Driver,Good Will Hunting,False
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Julianne Moore,Boogie Nights,False
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Gloria Stuart,Titanic,False
1997,1998,70,ART DIRECTION,Art Direction:  Jan Roelfs;  Set Decoration:  Nancy Nye,Gattaca,False
1997,1998,70,ART DIRECTION,Art Direction:  Dante Ferretti;  Set Decoration:  Francesca Lo Schiavo,Kundun,False
1997,1998,70,ART DIRECTION,Art Direction:  Jeannine Oppewall;  Set Decoration:  Jay R. Hart,L.A. Confidential,False
1997,1998,70,ART DIRECTION,Art Direction:  Bo Welch;  Set Decoration:  Cheryl Carasik,Men in Black,False
